Node Name                             Address    Labels                              
------------------------------------- ---------- ----------------------------------- 
0040e7b9-5eea-4a2b-8a34-a520ff68f8... ⟵ Tunnel   iface_br-d2a97477f93f=172.18.0.1... 
0226fca1-aa6a-4f52-a4ef-3c8ad823aa... ⟵ Tunnel   iface_enp3s0=10.136.219.174,ifac... 
088d9bce-ed1d-4ac0-bb58-c0daafce95... ⟵ Tunnel   iface_ens3=198.18.99.200,iface_e... 
09928ca5-f744-45e5-b6e6-5673290b20... ⟵ Tunnel   iface_cfw-mlx-bfw_1=10.61.0.211,... 
0ae0b6fb-e5d5-4ec3-981b-74e95f2807... ⟵ Tunnel   iface_ens3=198.18.5.223,ns_env=n... 
0e532920-2bab-4cf4-ac0a-8fd210b710... ⟵ Tunnel   iface_ens3=198.18.6.181,198.18.7... 
14e736e8-fd6f-4826-a59a-0cf31a5e3f... ⟵ Tunnel   iface_ens3=10.136.216.4,ns_env=n... 
18308ce4-3937-4271-bafe-324933a1ad... ⟵ Tunnel   iface_ens3=10.136.211.232,ns_env... 
1ea1d9b6-eb8b-45e1-b73c-12420438ad... ⟵ Tunnel   iface_ens3=10.136.124.10,ns_env=... 
1fa7f1ed-e4c3-4de9-936c-6fdbb337df... ⟵ Tunnel   iface_ens3=198.18.7.38,198.18.7.... 
27858b85-d89a-4f84-a0e2-c248e8d13d... ⟵ Tunnel   iface_ens3=198.18.6.146,iface_en... 
29c66130-e6f4-4f0a-8ac4-3df5b50091... ⟵ Tunnel   iface_ens3=198.18.0.19,ns_env=np... 
2f74376a-3323-4ee7-a438-1a2a27e9cd... ⟵ Tunnel   iface_ens3=198.18.6.189,ns_env=n... 
446a156b-1a04-4f9e-b1dc-7d176f9474... ⟵ Tunnel   iface_cfw-bfw_1=10.61.0.235,ifac... 
463fab07-8aca-434e-9844-740e3d19c0... ⟵ Tunnel   iface_enp3s0=10.136.217.25,ns_en... 
62c490df-2c9b-4cca-be91-6d7045cdcf... ⟵ Tunnel   iface_ens3=198.18.5.113,198.18.7... 
645eae8a-b0da-4666-8ed0-ef8ae03ebf... ⟵ Tunnel   iface_ens3=198.18.0.26,ns_env=np... 
65091c3a-cb16-48a1-be61-7a60a2fa60... ⟵ Tunnel   iface_ens3=198.18.0.52,ns_env=np... 
6cc5c120-7737-40be-84ce-19a4a8190e... ⟵ Tunnel   iface_ens3=198.18.5.103,iface_en... 
753385c5-72d4-4b1b-961a-62ff674a3f... ⟵ Tunnel   iface_ens3=198.18.4.77,iface_ens... 
78914c38-b189-42bb-9a82-cbdfcc5726... ⟵ Tunnel   iface_ens3=198.18.4.116,ns_env=n... 
7ed75fdd-aa8e-401b-9add-302ae63f3c... ⟵ Tunnel   iface_ens3=10.136.210.69,iface_e... 
7ed82456-261a-477a-aa3d-60fffce17b... ⟵ Tunnel   iface_ens3=198.18.4.243,ns_env=n... 
